Dots;Area;Difference
100;0.777771;-0.176541
600;0.826382;-0.125075
1100;0.901507;-0.0455365
1600;0.960061;0.0164568
2100;0.912029;-0.0343967
2600;0.878732;-0.06965
3100;0.871856;-0.0769294
3600;0.996519;0.0550564
4100;0.969842;0.0268128
4600;1.00392;0.0628882
5100;0.882617;-0.0655359
5600;0.887145;-0.0607424
6100;0.913243;-0.033111
6600;0.970741;0.0277638
7100;0.883208;-0.0649105
7600;0.8622;-0.0871527
8100;0.991418;0.0496557
8600;0.928125;-0.0173553
9100;0.95512;0.0112254
9600;0.853725;-0.0961254
10100;0.919271;-0.0267289
10600;0.934609;-0.0104901
11100;0.977469;0.0348873
11600;0.969699;0.0266613
12100;0.998729;0.0573958
12600;0.919745;-0.0262274
13100;0.918037;-0.0280359
13600;0.925748;-0.0198722
14100;0.898436;-0.0487884
14600;0.96955;0.0265033
15100;0.949679;0.00546486
15600;0.964735;0.0214055
16100;0.949267;0.00502876
16600;0.941173;-0.00354059
17100;0.952883;0.00885727
17600;0.945146;0.000666054
18100;0.91098;-0.035507
18600;0.946079;0.00165337
19100;0.940655;-0.00408924
19600;0.952869;0.00884192
20100;0.935937;-0.00908424
20600;0.978349;0.0358191
21100;0.948715;0.00444397
21600;0.947008;0.00263719
22100;0.935261;-0.00980025
22600;0.934788;-0.010301
23100;0.926759;-0.0188009
23600;0.935962;-0.0090582
24100;0.956884;0.0130934
24600;0.91728;-0.0288376
25100;0.936191;-0.00881492
25600;0.954744;0.0108277
26100;0.941669;-0.00301554
26600;0.953939;0.00997517
27100;0.996967;0.0555312
27600;0.917262;-0.0288558
28100;0.965294;0.0219972
28600;0.944339;-0.000188716
29100;0.947825;0.00350184
29600;0.955463;0.0115884
30100;0.939268;-0.00555737
30600;0.914707;-0.0315615
31100;0.90469;-0.0421666
31600;0.924218;-0.0214913
32100;0.951013;0.00687705
32600;0.929866;-0.0155122
33100;0.928449;-0.0170117
33600;0.936045;-0.00896993
34100;0.926882;-0.0186715
34600;0.962379;0.0189111
35100;0.955872;0.0120213
35600;0.954736;0.0108187
36100;0.952015;0.00793852
36600;0.962385;0.0189176
37100;0.949677;0.00546303
37600;0.959027;0.0153618
38100;0.941338;-0.00336645
38600;0.944256;-0.000276361
39100;0.940387;-0.00437317
39600;0.956501;0.0126878
40100;0.926634;-0.0189342
40600;0.949225;0.00498467
41100;0.949505;0.00528076
41600;0.968007;0.0248695
42100;0.934572;-0.0105293
42600;0.956466;0.0126512
43100;0.94334;-0.00124588
43600;0.966639;0.0234213
44100;0.927902;-0.0175914
44600;0.93472;-0.0103725
45100;0.939878;-0.00491135
45600;0.961553;0.0180369
46100;0.963567;0.0201688
46600;0.94843;0.00414248
47100;0.943316;-0.00127225
47600;0.933815;-0.0113306
48100;0.948565;0.00428576
48600;0.961811;0.01831
49100;0.941523;-0.00317056
49600;0.946732;0.00234512
50100;0.950091;0.00590162
50600;0.93686;-0.00810659
51100;0.935113;-0.00995611
51600;0.938299;-0.00658328
52100;0.913993;-0.0323175
52600;0.955209;0.01132
53100;0.94182;-0.00285512
53600;0.953168;0.00915937
54100;0.963947;0.0205712
54600;0.929301;-0.0161102
55100;0.954922;0.011016
55600;0.945111;0.000628186
56100;0.923516;-0.0222346
56600;0.94954;0.00531793
57100;0.971703;0.0287826
57600;0.951284;0.00716431
58100;0.929041;-0.016385
58600;0.948655;0.0043807
59100;0.936516;-0.00847075
59600;0.953618;0.00963495
60100;0.93161;-0.013665
60600;0.94478;0.000278089
61100;0.952165;0.00809672
61600;0.934809;-0.0102789
62100;0.944503;-1.48501e-05
62600;0.92966;-0.0157301
63100;0.956344;0.0125214
63600;0.944698;0.000191559
64100;0.940818;-0.00391689
64600;0.944522;5.16333e-06
65100;0.966389;0.0231569
65600;0.942573;-0.00205846
66100;0.949857;0.00565359
66600;0.955864;0.0120134
67100;0.973228;0.0303972
67600;0.926623;-0.0189452
68100;0.95651;0.012697
68600;0.953081;0.00906699
69100;0.936195;-0.00881077
69600;0.94274;-0.00188171
70100;0.930329;-0.0150212
70600;0.937098;-0.00785476
71100;0.924902;-0.0207675
71600;0.948316;0.00402155
72100;0.955358;0.0114779
72600;0.939405;-0.00541277
73100;0.96716;0.0239726
73600;0.946587;0.00219173
74100;0.944661;0.000152245
74600;0.931292;-0.0140021
75100;0.952018;0.00794193
75600;0.94958;0.00536027
76100;0.966337;0.0231014
76600;0.954191;0.0102419
77100;0.947498;0.00315638
77600;0.94628;0.00186589
78100;0.937358;-0.00757941
78600;0.939435;-0.0053803
79100;0.939151;-0.00568145
79600;0.957557;0.0138059
80100;0.948667;0.00439342
80600;0.951346;0.00722993
81100;0.934092;-0.0110373
81600;0.953031;0.0090144
82100;0.938109;-0.00678446
82600;0.941611;-0.00307666
83100;0.940859;-0.00387264
83600;0.955816;0.0119628
84100;0.952908;0.00888376
84600;0.932222;-0.0130176
85100;0.935541;-0.00950306
85600;0.932348;-0.0128837
86100;0.944323;-0.000205437
86600;0.951669;0.00757206
87100;0.948215;0.00391526
87600;0.9458;0.00135772
88100;0.952129;0.00805924
88600;0.939294;-0.00552958
89100;0.933805;-0.0113413
89600;0.937058;-0.00789772
90100;0.943295;-0.00129359
90600;0.954722;0.0108046
91100;0.93721;-0.00773681
91600;0.963935;0.0205584
92100;0.937801;-0.0071109
92600;0.96161;0.0180964
93100;0.940781;-0.00395552
93600;0.944896;0.000401125
94100;0.935226;-0.00983688
94600;0.951454;0.00734414
95100;0.943896;-0.000657991
95600;0.945468;0.00100619
96100;0.949957;0.00575924
96600;0.939404;-0.00541365
97100;0.950186;0.00600192
97600;0.924997;-0.0206663
98100;0.961411;0.0178864
98600;0.935632;-0.00940677
99100;0.922377;-0.0234412
99600;0.930631;-0.0147019
