Size;Random Array Sorting Time;Reverse Array Sorting Time;Nearly Sorted Array Sorting Time
500;61;35;46
600;72;58;38
700;70;63;45
800;91;54;52
900;91;47;56
1000;110;69;65
1100;123;76;73
1200;119;70;78
1300;134;87;83
1400;137;80;88
1500;146;87;96
1600;167;92;99
1700;166;95;109
1800;174;109;110
1900;185;106;119
2000;203;120;136
2100;238;139;157
2200;196;113;129
2300;197;117;134
2400;202;122;140
2500;212;129;143
2600;220;134;148
2700;226;139;146
2800;231;142;156
2900;241;148;165
3000;250;153;170
3100;289;158;170
3200;266;160;181
3300;278;164;186
3400;286;168;191
3500;292;175;195
3600;302;176;206
3700;308;180;199
3800;318;183;177
3900;286;168;188
4000;301;183;208
4100;311;192;211
4200;341;206;235
4300;338;207;233
4400;335;207;232
4500;342;216;240
4600;340;213;243
4700;354;222;246
4800;361;223;256
4900;368;232;256
5000;374;234;262
5100;377;236;264
5200;392;245;269
5300;376;215;241
5400;349;220;246
5500;353;221;248
5600;357;224;252
5700;415;251;259
5800;398;253;272
5900;376;234;264
6000;381;235;272
6100;394;248;262
6200;399;243;269
6300;408;247;278
6400;401;219;305
6500;394;242;258
6600;378;229;259
6700;383;235;261
6800;398;235;266
6900;397;236;264
7000;405;242;273
7100;408;244;277
7200;415;248;277
7300;418;250;272
7400;424;254;275
7500;431;256;283
7600;446;260;281
7700;445;270;289
7800;466;277;301
7900;469;284;311
8000;477;298;320
8100;484;299;324
8200;494;304;333
8300;504;313;342
8400;513;315;342
8500;516;322;347
8600;519;325;349
8700;537;317;345
8800;523;324;349
8900;532;325;355
9000;534;332;374
9100;538;334;363
9200;557;343;364
9300;546;340;364
9400;555;344;367
9500;565;348;370
9600;566;349;374
9700;571;352;371
9800;598;353;375
9900;580;359;380
10000;585;361;398
10100;582;360;379
10200;583;365;381
10300;598;369;389
10400;609;377;446
10500;624;380;397
10600;624;390;403
10700;630;392;406
10800;637;399;410
10900;644;404;415
11000;648;406;418
11100;655;413;445
11200;680;419;426
11300;671;419;425
11400;674;436;429
11500;683;422;433
11600;688;428;438
11700;695;448;463
11800;716;435;457
11900;700;438;446
12000;706;438;450
12100;730;459;449
12200;707;439;443
12300;726;443;447
12400;740;450;468
12500;743;457;474
12600;768;462;473
12700;761;467;476
12800;761;470;474
12900;772;472;481
13000;786;474;487
13100;784;481;490
13200;786;481;492
13300;787;478;491
13400;799;497;495
13500;811;514;516
13600;814;489;503
13700;818;492;505
13800;822;493;506
13900;838;493;505
14000;834;495;515
14100;843;507;510
14200;838;497;512
14300;838;503;513
14400;866;542;515
14500;863;517;517
14600;879;519;519
14700;876;523;527
14800;881;527;530
14900;886;529;534
15000;894;531;541
15100;907;535;561
15200;916;541;554
15300;913;563;550
15400;931;552;551
15500;936;564;566
15600;953;571;576
15700;961;577;588
15800;972;585;598
15900;980;615;623
16000;987;599;624
16100;984;599;610
16200;986;602;614
16300;984;633;620
16400;1006;614;628
16500;1023;626;637
16600;1017;629;641
16700;1044;637;648
16800;1050;640;648
16900;1035;642;650
17000;1046;647;658
17100;1050;651;662
17200;1055;655;665
17300;1059;664;667
17400;1071;653;677
17500;1086;661;667
17600;1070;657;668
17700;1081;660;679
17800;1089;660;674
17900;1098;665;672
18000;1102;675;696
18100;1107;677;701
18200;1107;678;688
18300;1103;679;689
18400;1101;679;683
18500;1112;690;697
18600;1123;697;700
18700;1134;712;700
18800;1162;718;703
18900;1143;702;711
19000;1151;712;709
19100;1163;719;711
19200;1168;720;719
19300;1171;724;737
19400;1173;731;735
19500;1176;728;721
19600;1190;734;730
19700;1201;736;728
19800;1200;741;734
19900;1206;742;733
20000;1228;763;759
20100;1219;756;744
20200;1227;757;749
20300;1228;817;763
20400;1236;767;749
20500;1250;769;751
20600;1268;786;780
20700;1260;788;765
20800;1270;793;774
20900;1276;801;778
21000;1283;793;778
21100;1292;810;804
21200;1325;820;791
21300;1307;812;794
21400;1318;811;796
21500;1305;811;788
21600;1321;824;803
21700;1329;819;799
21800;1347;821;799
21900;1334;823;801
22000;1337;827;800
22100;1353;847;806
22200;1360;844;811
22300;1374;860;829
22400;1363;843;823
22500;1359;845;816
22600;1372;856;821
22700;1379;863;856
22800;1405;868;844
22900;1431;869;835
23000;1406;867;837
23100;1418;873;844
23200;1422;876;844
23300;1427;894;854
23400;1473;881;854
23500;1432;884;851
23600;1442;893;855
23700;1452;909;864
23800;1459;907;904
23900;1478;931;876
24000;1473;919;880
24100;1482;914;883
