Size;Random Array Sorting Time;Reverse Array Sorting Time;Nearly Sorted Array Sorting Time
500;156;113;110
600;150;139;123
700;166;149;152
800;188;171;173
900;245;169;194
1000;249;185;194
1100;276;222;218
1200;291;237;232
1300;280;215;216
1400;288;220;234
1500;309;208;206
1600;282;204;213
1700;280;216;230
1800;296;227;239
1900;315;241;261
2000;331;252;273
2100;351;308;311
2200;377;282;315
2300;382;297;315
2400;406;315;338
2500;420;328;349
2600;454;296;312
2700;401;308;321
2800;414;318;340
2900;429;328;358
3000;444;338;379
3100;448;348;382
3200;516;372;380
3300;477;369;393
3400;490;379;381
3500;435;338;360
3600;449;348;372
3700;462;353;384
3800;468;362;392
3900;481;389;395
4000;546;417;409
4100;497;379;403
4200;516;394;424
4300;529;406;436
4400;504;373;396
4500;496;388;411
4600;505;389;417
4700;520;404;429
4800;532;413;443
4900;545;422;450
5000;554;428;460
5100;562;432;462
5200;594;456;476
5300;605;457;491
5400;615;467;503
5500;626;490;513
5600;657;510;520
5700;647;494;530
5800;657;495;546
5900;662;503;556
6000;672;506;553
6100;677;509;549
6200;680;524;561
6300;692;531;570
6400;699;544;577
6500;734;554;640
6600;737;562;602
6700;739;572;608
6800;748;578;618
6900;760;589;626
7000;770;593;636
7100;778;597;641
7200;789;609;645
7300;806;632;661
7400;844;647;669
7500;831;649;685
7600;844;648;691
7700;850;656;693
7800;860;655;703
7900;870;665;714
8000;890;671;727
8100;882;669;712
8200;889;705;729
8300;921;687;726
8400;932;700;738
8500;945;713;750
8600;946;727;762
8700;963;736;790
8800;981;792;798
8900;991;755;801
9000;1005;768;807
9100;1012;773;812
9200;1022;780;821
9300;1033;834;833
9400;1059;808;885
9500;1070;817;858
9600;1071;825;861
9700;1077;834;869
9800;1114;838;876
9900;1100;845;886
10000;1124;851;934
10100;1126;855;924
10200;1121;857;897
10300;1151;872;905
10400;1193;889;928
10500;1196;900;952
10600;1266;930;953
10700;1234;924;964
10800;1244;939;977
10900;1261;948;992
11000;1265;957;1001
11100;1296;1012;1012
11200;1284;980;1016
11300;1299;985;1017
11400;1315;996;1027
11500;1333;1000;1042
11600;1361;1066;1052
11700;1350;1014;1062
11800;1366;1025;1080
11900;1367;1028;1071
12000;1379;1033;1092
12100;1437;1039;1098
12200;1389;1037;1073
12300;1415;1047;1090
12400;1385;1060;1091
12500;1405;1086;1149
12600;1423;1082;1122
12700;1426;1092;1125
12800;1434;1100;1129
12900;1450;1180;1160
13000;1480;1163;1153
13100;1475;1132;1164
13200;1491;1136;1170
13300;1487;1139;1171
13400;1521;1171;1213
13500;1515;1161;1195
13600;1527;1172;1205
13700;1549;1178;1215
13800;1546;1197;1241
13900;1565;1194;1222
14000;1565;1193;1234
14100;1575;1214;1235
14200;1584;1218;1241
14300;1633;1205;1238
14400;1600;1225;1252
14500;1616;1248;1264
14600;1636;1245;1295
14700;1730;1262;1297
14800;1666;1274;1310
14900;1686;1287;1318
15000;1690;1310;1374
15100;1703;1305;1380
15200;1715;1309;1352
15300;1720;1321;1358
15400;1748;1330;1417
15500;1745;1338;1373
15600;1765;1342;1383
15700;1778;1352;1392
15800;1812;1399;1406
15900;1792;1367;1402
16000;1797;1371;1406
16100;1802;1375;1413
16200;1872;1372;1407
16300;1806;1366;1407
16400;1827;1374;1415
16500;1853;1445;1437
16600;1854;1410;1442
16700;1868;1421;1453
16800;1885;1455;1484
