Size;Random Array Sorting Time;Reverse Array Sorting Time;Nearly Sorted Array Sorting Time
500;171;155;137
600;136;121;109
700;179;160;142
800;228;216;184
900;283;261;230
1000;348;317;278
1100;244;217;190
1200;275;242;224
1300;338;279;261
1400;394;291;241
1500;341;290;275
1600;404;327;307
1700;423;398;368
1800;476;429;381
1900;529;467;423
2000;579;537;467
2100;373;317;298
2200;401;343;319
2300;371;314;297
2400;400;351;324
2500;429;361;345
2600;470;390;373
2700;497;419;393
2800;533;446;425
2900;566;477;453
3000;597;533;425
3100;562;472;440
3200;584;503;471
3300;674;553;495
3400;649;579;523
3500;684;661;568
3600;724;603;515
3700;670;588;538
3800;711;647;566
3900;742;644;591
4000;775;683;623
4100;487;410;403
4200;502;427;456
4300;545;446;417
4400;545;441;436
4500;565;474;455
4600;585;505;473
4700;610;508;489
4800;634;517;508
4900;658;559;526
5000;677;590;554
5100;707;612;566
5200;740;629;586
5300;756;656;606
5400;780;663;631
5500;803;712;646
5600;827;702;669
5700;857;742;693
5800;889;772;713
5900;911;804;739
6000;940;827;761
6100;968;844;792
6200;1055;855;802
6300;1022;905;833
6400;1052;940;862
6500;1080;931;872
6600;1113;983;893
6700;1142;998;916
6800;1177;1019;971
6900;1260;1071;967
7000;1237;1066;994
7100;1269;1119;1020
7200;1304;1190;1042
7300;1341;1155;1066
7400;1370;1209;1096
7500;1408;1266;1121
7600;1436;1282;1146
7700;1475;1315;1175
7800;1506;1337;1200
7900;1559;1365;1228
8000;1570;1415;1258
8100;971;917;850
8200;1121;861;782
8300;1009;833;799
8400;1035;884;811
8500;1049;882;828
8600;1074;900;845
8700;1114;989;863
8800;1120;895;876
8900;1145;955;900
9000;1159;976;913
9100;1191;1007;932
9200;1214;1030;951
9300;1232;1036;967
9400;1248;1047;981
9500;1279;1096;1000
9600;1312;1087;1020
9700;1323;1143;1041
9800;1352;1153;1059
9900;1370;1181;1072
10000;1398;1190;1100
10100;1431;1228;1113
10200;1440;1248;1133
10300;1474;1265;1145
10400;1513;1284;1173
10500;1516;1311;1190
10600;1549;1327;1210
10700;1583;1349;1230
10800;1590;1370;1248
10900;1623;1383;1270
11000;1656;1517;1299
11100;1673;1459;1312
11200;1703;1474;1338
11300;1719;1488;1346
11400;1753;1513;1372
11500;1781;1549;1396
11600;1811;1569;1418
11700;1837;1591;1441
11800;1865;1656;1456
11900;1893;1645;1484
12000;1918;1670;1501
12100;1953;1695;1528
12200;1975;1717;1543
12300;2015;1745;1571
12400;2034;1775;1599
12500;2066;1796;1619
12600;2109;1844;1647
12700;2129;1854;1664
12800;2146;1897;1679
12900;2184;1913;1707
13000;2209;1979;1730
13100;2240;1950;1759
13200;2275;1986;1775
13300;2296;2021;1795
13400;2332;2032;1835
13500;2364;2124;1848
13600;2396;2092;1882
13700;2424;2127;1896
13800;2462;2145;1924
13900;2483;2207;1957
14000;2519;2232;2005
14100;2544;2244;2004
14200;2584;2285;2020
14300;2615;2295;2041
14400;2686;2334;2069
14500;2688;2386;2107
14600;2723;2404;2134
14700;2738;2452;2155
14800;2774;2468;2187
14900;2831;2504;2250
15000;2854;2527;2240
15100;2881;2550;2262
15200;2929;2623;2294
15300;2952;2626;2316
15400;2974;2665;2349
15500;3026;2695;2395
15600;3056;2698;2384
15700;3093;2754;2427
15800;3176;2783;2449
15900;3175;2809;2484
16000;3201;2865;2516
16100;1985;1642;1501
16200;1991;1641;1511
16300;2022;1687;1534
16400;2053;1688;1549
16500;2065;1707;1566
16600;2078;1714;1596
16700;2106;1764;1593
16800;2142;1795;1628
16900;2139;1777;1635
17000;2180;1799;1655
17100;2205;1836;1675
17200;2211;1857;1682
17300;2253;1860;1689
17400;2262;1886;1714
17500;2293;1882;1749
17600;2303;1938;1763
17700;2324;1912;1765
17800;2352;1975;1772
17900;2377;1980;1817
18000;2396;2003;1816
18100;2428;2035;1837
18200;2434;2051;1853
18300;2457;2070;1871
18400;2474;2102;1883
18500;2502;2156;1901
18600;2535;2148;1915
18700;2603;2147;1943
18800;2571;2185;1955
18900;2600;2189;1996
19000;2621;2220;1990
19100;2642;2231;2004
19200;2674;2266;2024
19300;2681;2289;2055
19400;2712;2315;2079
19500;2733;2358;2084
19600;2761;2345;2092
19700;2791;2401;2114
19800;2814;2386;2126
19900;2866;2417;2158
20000;2868;2423;2176
20100;2886;2498;2191
20200;2904;2490;2222
20300;2937;2504;2247
20400;2961;2529;2255
20500;3000;2570;2278
20600;3012;2547;2298
20700;3064;2565;2316
20800;3070;2570;2322
20900;3087;2614;2350
21000;3113;2667;2375
21100;3149;2713;2389
21200;3159;2704;2453
21300;3192;2737;2432
21400;3220;2743;2448
21500;3288;2768;2464
21600;3274;2802;2504
21700;3292;2839;2513
21800;3317;2845;2546
21900;3349;2896;2545
22000;3378;2900;2566
22100;3412;2960;2597
22200;3428;2971;2625
22300;3452;2976;2644
22400;3491;3004;2641
22500;3504;3041;2685
22600;3539;3031;2705
22700;3568;3106;2705
22800;3580;3094;2729
22900;3622;3149;2763
23000;3638;3139;2772
23100;3671;3148;2802
23200;3710;3192;2822
23300;3741;3222;2848
23400;3753;3242;2870
23500;3775;3286;2906
23600;3854;3313;2931
23700;3832;3324;2927
23800;4298;3353;2952
23900;3893;3402;2965
24000;3923;3413;2989
24100;3951;3556;3039
24200;3977;3483;3034
24300;4011;3476;3074
24400;4038;3483;3116
24500;4061;3535;3112
24600;4099;3546;3130
24700;4132;3585;3156
24800;4154;3625;3172
24900;4206;3651;3193
25000;4211;3681;3224
25100;4237;3693;3239
25200;4281;3775;3286
25300;4304;3736;3284
25400;4343;3825;3314
25500;4371;3828;3345
25600;4383;3821;3350
25700;4413;3843;3379
25800;4452;3896;3396
25900;4492;3912;3432
26000;4541;3941;3464
26100;4560;3959;3487
26200;4574;3952;3510
26300;4603;4059;3528
26400;4641;4080;3544
26500;4677;4116;3591
26600;4702;4268;3600
26700;4716;4139;3644
26800;4764;4139;3638
26900;4782;4176;3661
27000;4826;4240;3701
27100;4832;4248;3731
27200;4882;4286;3745
27300;4913;4304;3793
27400;4950;4317;3798
27500;4974;4418;3806
27600;5009;4398;3834
27700;5037;4413;3885
27800;5078;4455;3881
27900;5112;4487;3900
28000;5116;4518;3936
28100;5162;4547;3957
28200;5199;4563;3989
28300;5269;4679;4027
28400;5278;4638;4057
28500;5335;4680;4086
28600;5333;4684;4096
28700;5367;4721;4138
28800;5409;4765;4140
28900;5424;4757;4231
29000;5469;4811;4219
29100;5504;4849;4229
29200;5539;4866;4240
29300;5565;4880;4283
29400;5620;4919;4319
29500;5639;4978;4351
29600;5652;5010;4351
29700;5702;5059;4404
29800;5724;5094;4410
29900;5769;5102;4456
30000;5794;5268;4444
30100;5823;5143;4493
30200;5880;5218;4502
30300;5924;5201;4550
30400;5934;5269;4568
30500;5995;5289;4601
30600;6011;5327;4663
30700;6052;5341;4645
30800;6068;5304;4688
30900;6138;5398;4700
31000;6152;5464;4797
31100;6190;5510;4775
31200;6204;5508;4820
31300;6259;5970;4842
31400;6288;5632;4870
31500;6314;5615;4912
31600;6369;5653;4901
31700;6374;5692;4948
31800;6446;5761;4945
31900;6458;5750;4979
32000;6513;5807;5037
32100;4040;3350;2974
32200;4076;3359;2992
32300;4095;3383;2999
32400;4104;3409;3026
32500;4132;3430;3047
32600;4157;3438;3069
32700;4158;3456;3071
32800;4225;3486;3107
32900;4260;3479;3120
33000;4234;3516;3120
33100;4266;3664;3145
33200;4270;3550;3148
33300;4298;3558;3181
33400;4320;3578;3192
33500;4383;3606;3216
33600;4360;3605;3218
33700;4388;3653;3239
33800;4443;3649;3257
33900;4430;3669;3303
34000;4453;3698;3324
34100;4457;3721;3331
34200;4499;3741;3327
34300;4513;3759;3344
34400;4550;3794;3356
34500;4563;3791;3371
34600;4584;3840;3376
34700;4611;3826;3396
34800;4625;3823;3426
34900;4641;3859;3460
35000;4668;3889;3465
35100;4695;3924;3504
35200;4722;3946;3492
35300;4736;3966;3500
35400;4764;3970;3525
35500;4785;4000;3535
35600;4829;4009;3567
35700;4829;4039;3591
35800;4866;4083;3594
35900;4873;4100;3616
36000;4902;4140;3644
36100;4925;4139;3644
36200;4950;4165;3685
36300;4984;4169;3675
36400;5004;4199;3707
36500;5009;4217;3726
36600;5034;4269;3743
36700;5065;4290;3754
36800;5101;4258;3770
36900;5147;4315;3843
37000;5139;4323;3836
37100;5159;4337;3816
37200;5222;4364;3856
37300;5206;4392;3856
37400;5240;4401;3876
37500;5261;4432;3880
37600;5274;4454;3918
37700;5341;4461;3951
37800;5313;4515;3959
37900;5349;4482;3966
38000;5368;4507;3985
38100;5406;4588;4022
38200;5424;4599;4029
38300;5428;4563;4045
38400;5469;4603;4060
38500;5505;4666;4058
38600;5544;4677;4104
38700;5548;4675;4122
38800;5559;4708;4130
38900;5584;4708;4161
39000;5604;4778;4222
39100;5980;4854;4178
39200;5684;4772;4199
39300;5693;4819;4230
39400;5724;4817;4234
39500;5765;4863;4260
39600;5761;4885;4295
39700;5823;4881;4324
39800;5796;4939;4312
39900;5837;4971;4358
40000;5854;5163;4364
40100;5892;4993;4392
40200;5911;5021;4385
40300;5940;5045;4429
40400;5945;5067;4457
40500;5989;5099;4458
40600;6014;5094;4467
40700;6037;5139;4532
40800;6063;5171;4522
40900;6091;5159;4527
41000;6130;5194;4537
41100;6146;5212;4557
41200;6206;5240;4591
41300;6193;5258;4620
41400;6215;5199;4633
41500;6243;5288;4642
41600;6299;5354;4693
41700;6291;5294;4674
41800;6333;5432;4693
41900;6357;5405;4746
42000;6407;5369;4754
42100;6404;5432;4818
42200;6402;5492;4788
42300;6443;5517;4830
42400;6486;5522;4836
42500;6523;5563;4857
42600;6526;5570;4860
42700;6565;5588;4953
42800;6587;5619;4930
42900;6627;5650;4924
43000;6635;5680;4931
43100;6668;5761;4968
43200;6669;5729;4999
43300;6691;5762;5019
43400;6745;5767;5028
43500;6817;5816;5058
43600;6794;5811;5051
43700;6816;5837;5102
43800;6848;5876;5146
43900;6906;5902;5129
44000;6912;5955;5147
44100;6915;5949;5199
44200;6968;5995;5187
44300;6977;5972;5230
44400;7014;6022;5295
44500;7021;6040;5301
44600;7055;6075;5278
44700;7098;6077;5284
44800;7117;6118;5316
44900;7150;6199;5356
45000;7153;6149;5348
45100;7396;6354;5392
45200;7223;6214;5459
45300;7273;6205;5415
45400;7276;6239;5464
45500;7295;6303;5479
45600;7393;6325;5508
45700;7368;6312;5497
45800;7402;6365;5533
45900;7413;6341;5601
46000;7451;6414;5573
46100;7453;6380;5580
46200;7491;6468;5607
46300;7569;6481;5640
46400;7568;6573;5649
46500;7583;6517;5682
46600;7653;6569;5704
46700;7645;6581;5726
46800;7669;6614;5736
46900;7702;6640;5776
47000;7717;6669;5792
47100;7769;6756;5801
47200;7782;6704;5842
47300;7789;6757;5864
47400;7828;6778;5918
47500;7871;6786;5957
47600;7889;6823;5924
47700;7922;6852;5964
47800;7955;6870;5979
47900;7982;6859;5975
48000;8006;6919;6002
48100;8061;6935;6040
48200;8114;7007;6048
48300;8141;7006;6083
48400;8111;7033;6090
48500;8194;7052;6098
48600;8200;7095;6135
48700;8222;7093;6170
48800;8289;7101;6177
48900;8285;7136;6211
49000;8320;7208;6248
49100;8347;7260;6242
49200;8393;7244;6291
49300;8401;7272;6295
49400;8437;7312;6366
49500;8466;7330;6344
49600;8480;7287;6359
49700;8526;7362;6419
49800;8530;7407;6411
49900;8566;7420;6755
50000;8682;7443;6471
50100;8622;7489;6476
50200;8647;7508;6545
50300;8687;7558;6531
50400;8735;7572;6539
50500;8738;7626;6594
50600;8761;7603;6611
50700;8794;7650;6625
50800;8849;7728;6633
50900;8878;7895;6655
51000;8891;7698;6706
51100;8957;7746;6713
51200;8959;7814;6752
51300;8994;7812;6781
51400;9066;7819;6800
51500;9045;7879;6840
51600;9063;7912;6868
51700;9107;7901;6909
51800;9151;7996;6913
51900;9181;7990;6904
52000;9189;8012;6907
52100;9231;8012;6963
52200;9263;8024;6956
52300;9290;8111;7018
52400;9316;8118;7033
52500;9368;8169;7047
52600;9381;8027;7084
52700;9405;8234;7090
52800;9441;8233;7144
52900;9491;8230;7143
53000;9544;8314;7205
53100;9582;8265;7189
53200;9581;8330;7268
53300;9641;8395;7236
53400;9603;8394;7247
53500;9705;8409;7291
53600;9687;8466;7301
53700;9729;8466;7364
53800;9739;8501;7350
53900;9783;8514;7381
54000;9824;8620;7407
54100;10011;8825;7410
54200;9887;8606;7515
54300;9904;8629;7476
54400;9941;8701;7529
54500;9964;8743;7539
54600;10010;8766;7540
54700;10062;8765;7631
54800;10079;8840;7629
54900;10086;8864;7639
55000;10180;8841;7660
55100;10191;8889;7670
55200;10201;8948;7715
55300;10227;8995;7723
55400;10265;8975;7751
55500;10338;8999;7780
55600;10332;9025;7802
55700;10380;9087;7851
55800;10395;9117;7835
55900;10421;9136;7917
56000;10445;9117;7903
56100;10477;9174;7941
56200;10552;9212;7991
56300;10554;9260;7966
56400;10590;9282;8018
56500;10615;9335;8045
56600;10658;9322;8084
56700;10685;9364;8085
56800;10726;9418;8111
56900;10789;9448;8159
57000;10778;9462;8178
57100;10809;9533;8220
57200;10867;9505;8198
57300;10892;9562;8252
57400;10916;9572;8298
57500;10966;9622;8323
57600;11017;9653;8326
57700;11047;9692;8730
57800;11073;9693;8397
57900;11098;9759;8390
58000;11131;9793;8415
58100;11126;9779;8511
58200;11209;9882;8513
58300;11221;9886;8543
58400;11288;9885;8570
58500;11295;9902;8563
58600;11342;9955;8608
58700;11358;10006;8597
58800;11411;10020;8654
58900;11455;10076;8650
59000;11443;10067;8698
59100;11553;10126;8698
59200;11521;10146;8765
59300;11544;10173;8775
59400;11586;10218;8808
59500;11629;10295;8833
59600;11662;10258;8851
59700;11696;10351;8892
59800;11747;10351;8925
59900;11769;10349;8953
60000;11798;10398;8942
60100;11848;10427;9023
60200;11904;10458;9006
60300;11915;10451;9104
60400;11950;10515;9090
60500;11979;10536;9163
60600;12018;10603;9130
60700;12038;10621;9216
60800;12086;10657;9202
60900;12079;10664;9215
61000;12182;11096;9279
61100;12224;10777;9308
61200;12209;10805;9309
61300;12257;10831;9381
61400;12294;10811;9330
61500;12309;10894;9395
61600;12348;10952;9383
61700;12380;10960;9461
61800;12411;10964;9443
61900;12459;11064;9525
62000;12497;11049;9534
62100;12536;11122;9639
62200;12573;11147;9568
62300;12610;11125;9635
62400;12601;11163;9630
62500;12652;11233;9661
62600;12750;11212;9689
62700;12732;11245;9708
62800;12773;11385;9728
62900;12820;11377;9767
63000;12841;11348;9779
63100;12892;11416;9816
63200;12910;11480;9854
63300;12962;11539;9910
63400;12977;11520;9897
63500;13056;11567;9963
63600;13079;11594;9975
63700;13154;11622;10010
63800;13128;11644;10003
63900;13209;11683;10034
64000;13539;11825;10080
64100;9367;7920;6913
64200;8287;6863;6010
64300;8360;6900;6087
64400;8348;6887;6040
64500;8369;6957;6080
64600;8379;6927;6117
64700;8405;6954;6079
64800;8414;6970;6094
64900;8436;6965;6130
65000;8466;7019;6121
65100;8510;7032;6153
65200;8514;7077;6212
65300;8571;7072;6172
65400;8547;7088;6213
65500;8558;7104;6245
65600;8668;7118;6210
65700;8640;7129;6250
65800;8635;7137;6248
65900;8659;7145;6286
66000;8680;7168;6319
66100;8706;7227;6333
66200;8732;7195;6359
66300;8749;7239;6351
66400;8782;7272;6371
66500;8778;7259;6377
66600;8796;7282;6419
66700;8840;7335;6416
66800;8872;7324;6427
66900;8878;7337;6452
67000;8909;7400;6452
67100;8907;7410;6472
67200;8946;7410;6499
67300;9007;7427;6526
67400;8993;7445;6537
67500;9022;7470;6561
67600;9036;7464;6575
67700;9057;7503;6562
67800;9082;7520;6595
