Size;Random Array Sorting Time;Reverse Array Sorting Time;Nearly Sorted Array Sorting Time
500;61;42;63
600;69;75;42
700;75;76;64
800;77;64;68
900;96;47;62
1000;142;57;65
1100;140;95;79
1200;144;89;88
1300;171;99;89
1400;147;91;93
1500;159;98;103
1600;171;93;100
1700;164;94;108
1800;173;118;127
1900;184;104;120
2000;217;121;137
2100;234;136;152
2200;293;181;170
2300;298;146;147
2400;243;154;156
2500;252;157;158
2600;247;156;156
2700;243;158;151
2800;250;161;165
2900;264;169;173
3000;271;172;181
3100;279;173;178
3200;265;161;178
3300;276;165;184
3400;282;167;188
3500;290;172;192
3600;305;178;206
3700;312;181;201
3800;322;185;209
3900;338;198;221
4000;357;212;246
4100;362;210;209
4200;335;201;229
4300;365;213;239
4400;377;227;252
4500;399;244;262
4600;409;265;269
4700;425;276;273
4800;430;277;280
4900;438;285;282
5000;447;284;290
5100;455;285;294
5200;386;243;246
5300;371;242;255
5400;378;248;255
5500;383;250;260
5600;387;254;264
5700;397;260;259
5800;373;232;260
5900;380;236;288
6000;383;235;271
6100;386;240;263
6200;400;294;267
6300;380;220;246
6400;361;221;246
6500;374;224;260
6600;378;228;258
6700;382;232;260
6800;388;233;306
6900;413;237;263
7000;402;243;276
7100;407;245;277
7200;422;250;276
7300;430;250;274
7400;432;253;278
7500;442;259;286
7600;445;259;282
7700;448;268;303
7800;464;275;302
7900;478;302;312
8000;518;295;323
8100;490;301;329
8200;493;306;335
8300;505;314;344
8400;529;327;348
8500;550;329;358
8600;564;341;367
8700;590;342;369
8800;582;350;374
8900;592;355;383
9000;599;358;383
9100;614;356;386
9200;601;377;413
9300;635;375;391
9400;616;367;394
9500;618;373;397
9600;628;373;400
9700;635;377;396
9800;671;362;384
9900;613;363;388
10000;613;368;423
10100;612;370;389
10200;615;374;390
10300;637;375;397
10400;607;396;417
10500;611;379;395
10600;625;387;403
10700;629;395;428
10800;641;398;412
10900;644;401;416
11000;645;405;415
11100;650;411;422
11200;656;410;424
11300;668;416;423
11400;671;431;429
11500;681;420;432
11600;685;427;444
11700;707;428;439
11800;693;433;460
11900;699;443;443
12000;706;437;449
12100;709;442;447
12200;706;438;442
12300;742;441;446
12400;734;447;460
12500;745;459;475
12600;749;460;465
12700;754;463;467
12800;753;465;466
12900;763;469;477
13000;774;471;481
13100;788;477;482
13200;782;477;485
13300;782;477;482
13400;802;484;492
13500;812;489;495
13600;807;485;504
13700;812;489;501
13800;815;493;498
13900;844;495;501
14000;835;495;514
14100;833;514;510
14200;836;498;512
14300;843;510;510
14400;909;520;517
14500;876;513;517
14600;893;515;520
14700;896;528;530
14800;902;528;531
14900;905;527;534
15000;915;533;544
15100;916;573;564
15200;931;542;566
15300;929;541;548
15400;935;552;550
15500;952;565;568
15600;967;570;577
15700;983;575;588
15800;987;584;600
15900;995;615;614
16000;1020;596;612
16100;999;597;621
16200;1007;597;615
