Size;Random Array Sorting Time;Reverse Array Sorting Time;Nearly Sorted Array Sorting Time
500;49;24;48
600;56;37;35
700;66;43;45
800;80;50;57
900;88;56;73
1000;101;48;56
1100;126;72;82
1200;119;65;72
1300;132;81;76
1400;135;74;85
1500;145;83;96
1600;176;91;102
1700;162;88;102
1800;173;94;104
1900;186;100;116
2000;193;106;137
2100;218;129;130
2200;231;127;140
2300;243;134;146
2400;252;141;156
2500;222;122;135
2600;227;120;138
2700;227;127;140
2800;236;132;152
2900;247;143;163
3000;257;150;167
3100;277;158;172
3200;280;166;183
3300;273;153;172
3400;281;157;175
3500;292;165;178
3600;302;169;194
3700;310;174;191
3800;318;178;201
3900;328;184;206
4000;336;190;215
4100;317;164;180
4200;320;175;198
4300;335;188;203
4400;342;192;208
4500;351;199;221
4600;361;201;226
4700;370;206;230
4800;378;209;238
4900;388;217;241
5000;397;221;251
5100;406;227;254
5200;395;225;250
5300;381;200;228
5400;356;202;235
5500;364;208;239
5600;374;214;244
5700;381;226;255
5800;390;227;260
5900;398;226;266
6000;407;239;274
6100;414;243;276
6200;424;243;284
6300;433;254;291
6400;430;220;257
6500;379;217;243
6600;377;213;240
6700;383;219;244
6800;389;229;247
6900;420;228;259
7000;404;232;256
7100;409;234;261
7200;420;238;261
7300;423;242;262
7400;428;245;265
7500;436;247;275
7600;442;253;272
7700;448;252;280
7800;454;257;284
7900;467;261;286
8000;469;263;291
8100;475;268;290
8200;480;269;292
8300;489;276;298
8400;518;289;308
8500;532;301;315
8600;537;308;317
8700;549;309;324
8800;557;315;327
8900;561;315;337
9000;567;319;337
9100;576;328;342
9200;584;354;348
9300;591;333;350
9400;596;338;351
9500;603;342;364
9600;611;345;361
9700;619;347;363
9800;627;356;373
9900;635;361;377
10000;643;359;381
10100;648;368;386
10200;655;376;390
10300;655;366;389
10400;639;365;390
10500;643;371;393
10600;650;380;409
10700;691;421;402
10800;667;388;413
10900;676;384;418
11000;682;395;420
11100;691;394;425
11200;697;402;429
11300;703;409;432
11400;714;408;437
11500;719;415;443
11600;733;423;447
11700;738;427;456
11800;745;422;454
11900;752;438;461
12000;759;472;482
12100;777;452;477
12200;778;449;478
12300;788;460;480
12400;789;464;486
12500;796;468;491
12600;803;478;523
12700;827;485;510
12800;816;482;504
12900;822;469;490
13000;798;460;473
13100;787;455;465
13200;793;459;468
13300;799;470;487
13400;807;472;475
13500;819;472;479
13600;820;474;483
13700;825;478;483
13800;835;484;488
13900;847;495;489
14000;848;492;498
14100;859;497;498
14200;864;499;502
14300;872;505;506
14400;917;505;515
14500;894;504;511
14600;896;509;510
14700;900;523;526
14800;904;526;524
14900;912;532;527
15000;922;531;530
15100;926;537;533
15200;934;539;543
15300;939;557;572
15400;997;544;542
15500;956;550;549
15600;963;551;552
15700;972;561;559
15800;994;565;564
15900;993;586;563
16000;984;562;563
16100;992;567;577
16200;1005;570;573
16300;998;565;573
16400;1025;573;584
16500;1023;583;585
16600;1051;586;588
16700;1055;595;607
16800;1093;634;615
16900;1115;642;625
17000;1125;650;627
17100;1133;650;631
17200;1143;652;642
17300;1141;653;614
17400;1087;625;616
17500;1095;625;652
17600;1097;629;623
17700;1104;628;634
17800;1111;636;636
17900;1117;637;634
