Size;Random Array Sorting Time;Reverse Array Sorting Time;Nearly Sorted Array Sorting Time
500;67;49;56
600;85;66;68
700;77;51;80
800;93;65;96
900;134;79;89
1000;136;97;101
1100;158;129;116
1200;174;140;136
1300;150;110;103
1400;161;108;120
1500;178;120;134
1600;219;139;147
1700;223;154;164
1800;235;167;178
1900;253;184;197
2000;237;166;174
2100;260;180;189
2200;260;196;203
2300;281;213;219
2400;298;233;238
2500;263;157;174
2600;260;167;185
2700;266;176;193
2800;280;189;212
2900;295;197;220
3000;307;211;231
3100;336;226;242
3200;352;238;261
3300;369;251;273
3400;386;264;284
3500;401;276;294
3600;348;244;271
3700;361;257;274
3800;378;269;285
3900;390;280;299
4000;403;292;317
4100;420;307;318
4200;434;321;336
4300;450;336;349
4400;467;351;362
4500;481;343;330
4600;438;327;342
4700;448;347;352
4800;464;356;365
4900;364;238;263
5000;373;243;273
5100;382;252;279
5200;404;272;290
5300;405;267;301
5400;415;274;313
5500;399;250;287
5600;385;257;290
5700;396;265;312
5800;406;273;308
5900;415;280;320
6000;425;288;328
6100;434;296;330
6200;459;308;340
6300;474;319;352
6400;483;327;403
6500;527;335;366
6600;507;348;374
6700;519;352;383
6800;529;362;392
6900;542;370;400
7000;552;379;411
7100;563;387;418
7200;553;392;419
7300;565;399;427
7400;581;409;434
7500;585;418;445
7600;599;427;449
7700;610;438;462
7800;623;447;470
7900;635;457;479
8000;645;472;489
8100;659;477;496
8200;671;488;504
8300;685;502;512
8400;693;511;521
8500;707;522;528
8600;719;539;543
8700;731;544;554
8800;747;555;559
8900;771;599;596
9000;772;578;583
9100;787;593;595
9200;800;597;607
9300;837;609;612
9400;823;626;621
9500;837;636;635
9600;854;648;644
9700;666;434;455
9800;672;446;464
9900;683;456;486
10000;719;452;479
10100;701;459;486
10200;710;469;492
10300;725;476;503
10400;736;480;533
10500;738;486;517
10600;749;495;552
10700;777;501;531
10800;769;509;534
10900;779;516;554
11000;787;523;554
11100;799;533;561
11200;806;539;601
11300;818;547;571
11400;828;585;579
11500;844;562;587
11600;849;571;594
11700;859;580;606
11800;867;585;610
11900;880;594;623
12000;888;601;627
12100;900;613;634
12200;908;622;644
12300;926;629;650
12400;968;644;660
12500;979;655;670
12600;989;665;679
12700;994;673;685
12800;1010;685;694
12900;1021;697;703
13000;1031;712;768
13100;1057;707;718
13200;1056;723;725
13300;1067;724;734
13400;1080;735;767
13500;1090;742;752
13600;1101;756;760
13700;1113;761;769
13800;1124;770;775
13900;1137;780;785
14000;1152;787;793
14100;1159;797;800
14200;1171;807;813
14300;1203;819;823
14400;1170;814;818
14500;1173;840;827
14600;1177;833;835
14700;1194;843;841
14800;1202;851;849
14900;1211;859;859
15000;1224;876;870
15100;1236;876;877
15200;1245;891;886
15300;1260;898;900
15400;1269;909;900
15500;1284;918;913
15600;1296;930;921
15700;1314;973;931
15800;1319;950;942
15900;1330;961;952
16000;1347;972;956
16100;1359;981;967
16200;1368;1002;980
16300;1388;1003;987
16400;1413;1022;1001
16500;1411;1031;1009
16600;1430;1046;1014
16700;1433;1053;1026
16800;1448;1064;1038
16900;1459;1085;1046
17000;1474;1083;1054
17100;1489;1103;1065
17200;1497;1108;1074
17300;1512;1120;1081
17400;1528;1133;1093
17500;1536;1140;1141
17600;1550;1155;1120
17700;1566;1167;1124
17800;1580;1175;1135
17900;1593;1190;1137
18000;1605;1196;1153
18100;1618;1210;1166
18200;1636;1222;1177
18300;1648;1234;1185
18400;1658;1249;1198
18500;1667;1259;1205
18600;1683;1266;1222
18700;1699;1277;1224
18800;1711;1289;1237
18900;1728;1306;1247
