Size;Random Array Sorting Time;Reverse Array Sorting Time;Nearly Sorted Array Sorting Time
500;152;102;110
600;149;145;123
700;166;152;150
800;188;168;169
900;228;168;185
1000;238;185;194
1100;276;237;218
1200;288;266;216
1300;224;188;177
1400;231;181;192
1500;249;193;207
1600;337;203;213
1700;278;215;229
1800;294;226;236
1900;311;239;259
2000;326;249;268
2100;349;266;283
2200;367;282;302
2300;384;298;315
2400;407;317;340
2500;422;329;350
2600;444;349;316
2700;393;309;321
2800;405;319;338
2900;421;330;356
3000;433;339;361
3100;447;348;365
3200;457;356;379
3300;474;369;391
3400;500;377;401
3500;463;336;355
3600;442;353;369
3700;476;349;373
3800;472;360;387
3900;480;377;391
4000;488;372;404
4100;494;376;399
4200;516;427;495
4300;492;358;383
4400;484;371;397
4500;496;384;415
4600;504;390;418
4700;519;404;459
4800;547;413;443
4900;543;423;450
5000;555;427;460
5100;560;432;462
5200;580;448;479
5300;592;459;489
5400;604;470;503
5500;614;477;514
5600;622;485;522
5700;635;513;532
5800;643;498;537
5900;655;504;551
6000;658;508;551
6100;663;511;548
6200;681;523;559
6300;691;532;570
6400;699;538;583
6500;717;552;595
6600;724;560;599
6700;738;570;606
6800;778;612;617
6900;759;585;631
7000;770;633;635
7100;776;596;641
7200;788;607;642
7300;805;616;655
7400;817;625;668
7500;831;638;693
7600;841;647;684
7700;849;656;693
7800;860;655;701
7900;870;664;713
8000;880;674;714
8100;881;672;712
8200;890;674;714
8300;906;688;727
8400;921;702;742
8500;936;719;753
8600;949;727;763
8700;961;736;776
8800;978;749;789
8900;991;757;804
9000;1001;768;809
9100;1009;774;815
9200;1018;783;823
9300;1035;797;834
9400;1048;806;843
9500;1059;818;856
9600;1073;825;864
9700;1080;834;872
9800;1106;842;879
9900;1103;846;891
10000;1113;854;892
10100;1116;854;894
10200;1124;858;895
10300;1154;877;911
10400;1161;895;927
10500;1172;904;938
10600;1192;920;951
10700;1206;931;968
10800;1220;943;978
10900;1232;954;995
11000;1243;963;1001
11100;1257;973;1012
11200;1258;984;1020
11300;1272;987;1018
11400;1287;999;1028
11500;1298;1002;1043
11600;1314;1013;1050
11700;1322;1019;1069
11800;1338;1051;1080
11900;1339;1030;1070
12000;1346;1035;1073
12100;1356;1060;1076
12200;1355;1039;1072
12300;1411;1045;1079
12400;1393;1066;1092
12500;1404;1072;1103
12600;1422;1105;1117
12700;1431;1094;1125
12800;1432;1102;1134
12900;1449;1113;1151
13000;1463;1123;1154
13100;1473;1132;1164
13200;1481;1143;1171
13300;1486;1145;1174
13400;1507;1158;1187
13500;1521;1166;1196
13600;1563;1175;1210
13700;1541;1180;1220
13800;1546;1187;1222
13900;1580;1190;1224
14000;1569;1196;1237
14100;1573;1215;1236
14200;1579;1210;1240
14300;1581;1208;1240
14400;1606;1227;1253
14500;1625;1237;1267
14600;1638;1248;1280
14700;1653;1267;1295
14800;1668;1272;1304
14900;1680;1285;1320
15000;1690;1300;1331
15100;1705;1299;1358
15200;1717;1308;1348
15300;1720;1316;1353
15400;1730;1328;1357
15500;1744;1333;1370
15600;1757;1341;1376
15700;1775;1350;1391
15800;1781;1356;1404
15900;1790;1377;1400
16000;1795;1368;1404
16100;1803;1366;1407
16200;1830;1368;1409
16300;1813;1370;1408
16400;1827;1372;1412
16500;1844;1394;1426
16600;1900;1408;1437
16700;1871;1427;1454
16800;1889;1438;1464
16900;1898;1446;1474
17000;1914;1466;1489
17100;1931;1474;1503
17200;1942;1477;1510
17300;1953;1498;1513
17400;1954;1489;1516
17500;1979;1513;1555
17600;1982;1510;1542
17700;1994;1525;1553
17800;2005;1528;1561
17900;2048;1544;1571
18000;2034;1551;1587
18100;2050;1559;1591
18200;2057;1566;1597
18300;2069;1570;1601
18400;2064;1577;1602
18500;2085;1597;1622
18600;2098;1607;1634
18700;2119;1617;1643
18800;2129;1632;1660
18900;2137;1637;1665
19000;2152;1651;1680
19100;2167;1675;1683
19200;2179;1669;1699
19300;2190;1677;1706
19400;2197;1681;1712
19500;2207;1697;1721
19600;2227;1707;1729
19700;2235;1714;1742
19800;2251;1722;1746
19900;2258;1730;1755
20000;2269;1733;1762
20100;2289;1743;1769
20200;2286;1744;1799
20300;2301;1752;1775
20400;2306;1753;1775
20500;2321;1768;1777
20600;2337;1795;1798
20700;2356;1835;1809
20800;2381;1819;1830
20900;2386;1834;1848
21000;2395;1836;1855
21100;2418;1856;1869
21200;2429;1866;1883
21300;2442;1909;1890
21400;2473;1885;1895
21500;2463;1888;1903
21600;2495;1904;1921
21700;2489;1904;1930
21800;2503;1916;1936
21900;2518;1925;1946
22000;2520;1936;1962
22100;2536;1949;1964
22200;2549;1957;1977
22300;2555;1962;2019
22400;2560;1967;1990
22500;2561;1978;1990
22600;2582;1984;2005
22700;2598;2003;2011
22800;2615;2012;2020
