Size;Random Array Sorting Time;Reverse Array Sorting Time;Nearly Sorted Array Sorting Time
500;171;156;136
600;134;121;109
700;182;152;142
800;239;199;185
900;281;298;227
1000;348;320;278
1100;244;243;189
1200;276;247;221
1300;271;248;212
1400;301;265;242
1500;342;290;275
1600;415;359;307
1700;426;393;344
1800;477;413;381
1900;524;467;422
2000;583;504;465
2100;374;307;276
2200;343;287;276
2300;374;310;298
2400;400;330;323
2500;432;378;343
2600;465;419;376
2700;496;412;393
2800;528;444;425
2900;565;475;453
3000;600;508;480
3100;621;491;440
3200;586;504;470
3300;622;556;498
3400;650;563;525
3500;690;595;548
3600;724;651;583
3700;681;602;538
3800;705;614;575
3900;742;655;613
4000;772;679;623
4100;487;406;400
4200;502;403;404
4300;525;444;417
4400;542;451;436
4500;575;471;455
4600;590;495;473
4700;608;536;492
4800;636;533;509
4900;721;586;526
5000;683;593;549
5100;710;603;565
5200;734;615;584
5300;753;626;604
5400;780;672;628
5500;808;701;648
5600;836;698;670
5700;850;746;696
5800;885;787;770
5900;909;870;736
6000;949;816;761
6100;972;840;780
6200;1000;858;801
6300;1026;905;826
6400;1055;926;848
6500;1088;966;870
6600;1116;1002;896
6700;1141;1001;917
6800;1172;1022;948
6900;1210;1084;987
7000;1238;1088;992
7100;1261;1195;1047
7200;1308;1152;1043
7300;1340;1185;1069
7400;1366;1224;1117
7500;1401;1263;1122
7600;1431;1279;1145
7700;1464;1312;1175
7800;1513;1322;1204
7900;1528;1372;1233
8000;1562;1413;1261
8100;976;819;766
8200;1013;831;781
8300;1009;852;800
8400;1032;868;810
8500;1053;876;829
8600;1081;890;845
8700;1097;916;865
8800;1115;930;895
8900;1142;947;904
9000;1234;977;913
9100;1180;1006;930
9200;1208;1026;957
9300;1230;1038;965
9400;1251;1072;982
9500;1278;1082;1006
9600;1305;1113;1018
9700;1327;1118;1038
9800;1345;1156;1060
9900;1371;1189;1080
10000;1393;1201;1096
10100;1412;1229;1112
10200;1438;1245;1138
10300;1524;1246;1155
10400;1505;1243;1176
10500;1523;1296;1186
