Size;Random Array Sorting Time;Reverse Array Sorting Time;Nearly Sorted Array Sorting Time
500;172;163;143
600;135;121;109
700;181;154;142
800;230;198;183
900;285;279;227
1000;346;310;277
1100;265;243;188
1200;278;251;222
1300;269;265;210
1400;298;261;241
1500;341;292;275
1600;403;331;307
1700;425;385;344
1800;476;437;394
1900;530;490;423
2000;587;505;465
2100;373;315;264
2200;346;291;275
2300;374;314;298
2400;402;351;323
2500;433;443;348
2600;466;388;372
2700;498;430;396
2800;532;448;425
2900;566;487;453
3000;597;525;480
3100;588;486;441
3200;583;512;470
3300;620;551;495
3400;651;576;524
3500;687;597;552
3600;723;702;560
3700;769;612;539
3800;706;636;569
3900;742;646;595
4000;773;711;624
4100;488;402;384
4200;502;428;402
4300;520;446;421
4400;544;467;441
4500;565;483;457
4600;590;508;476
4700;609;534;490
4800;632;537;513
4900;657;566;525
5000;683;592;553
5100;717;611;565
5200;726;600;584
5300;757;658;605
5400;777;660;629
5500;827;707;650
5600;834;702;673
5700;854;739;693
5800;883;762;713
5900;926;851;789
6000;946;811;764
6100;968;830;777
6200;1005;861;801
6300;1026;892;830
6400;1051;920;846
6500;1075;933;871
6600;1110;989;892
6700;1146;1079;918
6800;1174;1034;943
6900;1207;1073;966
7000;1234;1106;992
7100;1265;1098;1019
7200;1341;1169;1051
7300;1351;1172;1068
7400;1365;1204;1094
7500;1406;1271;1134
7600;1445;1277;1148
7700;1463;1301;1177
7800;1498;1359;1205
7900;1534;1379;1233
8000;1571;1403;1267
8100;973;810;768
8200;1013;838;782
8300;1008;840;796
8400;1033;867;813
8500;1054;881;832
8600;1075;902;880
8700;1098;925;863
8800;1124;930;876
8900;1148;975;900
9000;1163;994;946
9100;1227;1000;932
9200;1208;1022;955
9300;1229;1038;967
9400;1255;1079;982
9500;1281;1080;1004
9600;1304;1121;1020
9700;1325;1132;1047
9800;1347;1162;1057
9900;1377;1163;1073
10000;1402;1217;1096
10100;1416;1233;1117
10200;1452;1241;1137
10300;1495;1262;1157
10400;1493;1288;1175
10500;1518;1290;1224
10600;1536;1341;1211
10700;1582;1364;1235
10800;1599;1367;1248
10900;1624;1421;1269
11000;1667;1417;1292
11100;1677;1444;1315
11200;1711;1474;1333
11300;1720;1485;1351
11400;1750;1508;1374
11500;1777;1548;1394
11600;1813;1595;1418
11700;1837;1597;1441
11800;1864;1594;1461
11900;1894;1633;1478
12000;1968;1673;1504
12100;1943;1707;1528
12200;1980;1721;1545
12300;2031;1763;1573
12400;2038;1767;1593
12500;2062;1798;1616
12600;2105;1817;1641
12700;2126;1864;1660
12800;2154;1892;1681
12900;2186;1924;1712
13000;2206;1947;1730
13100;2242;1966;1787
13200;2279;2005;1779
13300;2312;2032;1799
13400;2329;2037;1825
13500;2361;2068;1839
13600;2404;2088;1864
13700;2428;2131;1905
13800;2453;2168;1926
13900;2492;2188;1947
14000;2521;2221;1976
14100;2554;2266;2025
14200;2597;2274;2026
14300;2611;2342;2058
14400;2669;2339;2079
14500;2692;2372;2106
14600;2725;2395;2132
14700;2746;2416;2161
14800;2777;2462;2183
14900;2826;2686;2427
15000;2866;2547;2262
15100;2891;2556;2272
15200;2929;2585;2287
15300;2954;2627;2344
15400;2983;2662;2339
15500;3020;2697;2373
15600;3056;2717;2402
15700;3109;2749;2432
15800;3123;2785;2502
15900;3168;2821;2481
16000;3206;2870;2512
16100;1974;1645;1510
16200;2000;1661;1515
16300;2020;1694;1541
16400;2130;1683;1553
16500;2060;1700;1555
16600;2077;1738;1581
16700;2109;1745;1604
16800;2131;1822;1621
16900;2150;1794;1687
17000;2175;1816;1645
17100;2191;1831;1660
17200;2207;1855;1682
17300;2232;1861;1700
17400;2263;1877;1711
17500;2278;1891;1725
17600;2307;1933;1746
17700;2323;1931;1775
17800;2349;1981;1777
17900;2366;1984;1799
18000;2390;2009;1840
18100;2421;2043;1828
18200;2436;2039;1858
18300;2451;2094;1871
18400;2487;2104;1870
18500;2506;2139;1907
18600;2538;2143;1925
18700;2555;2161;1937
18800;2570;2155;1951
18900;2595;2206;1973
19000;2620;2265;1993
19100;2642;2245;2013
19200;2667;2256;2037
19300;2689;2304;2044
19400;2712;2340;2065
19500;2738;2333;2079
19600;2754;2350;2094
19700;2794;2391;2124
19800;2817;2396;2143
19900;2856;2470;2164
20000;2854;2438;2182
20100;2895;2444;2201
20200;2908;2500;2230
20300;2931;2503;2235
20400;2961;2520;2256
20500;2999;2534;2278
20600;3005;2595;2286
20700;3038;2541;2334
20800;3069;2581;2351
20900;3088;2590;2345
21000;3120;2675;2404
21100;3145;2682;2394
21200;3169;2692;2423
21300;3189;2742;2450
21400;3221;2884;2449
21500;3244;2990;2502
21600;3281;2799;2485
21700;3301;2829;2522
21800;3320;2844;2533
21900;3351;2879;2543
22000;3391;2923;2567
22100;3412;2930;2603
22200;3415;2969;2628
22300;3472;2975;2645
22400;3481;3018;2644
22500;3502;3030;2670
22600;3539;3022;2695
22700;3565;3074;2710
22800;3595;3099;2726
22900;3614;3096;2775
23000;3669;3157;2767
23100;3677;3183;2791
23200;3702;3183;2808
23300;3726;3233;2838
23400;3756;3239;2864
23500;3770;3278;2889
23600;3808;3314;2956
23700;3827;3340;2918
23800;3879;3368;2949
23900;3895;3357;2968
24000;3923;3411;2985
24100;3960;3441;3023
24200;3990;3489;3056
24300;4037;3488;3082
24400;4032;3505;3084
24500;4067;3553;3113
24600;4105;3555;3129
24700;4130;3592;3149
24800;4150;3607;3175
24900;4197;3652;3187
25000;4227;3657;3218
25100;4250;3703;3257
25200;4275;3724;3258
25300;4319;3735;3301
25400;4337;3783;3368
25500;4386;3816;3343
25600;4380;3826;3381
25700;4417;3853;3384
25800;4451;3882;3412
25900;4497;3923;3438
26000;4548;3939;3461
26100;4533;4080;3476
26200;4571;3981;3509
26300;4604;4036;3516
26400;4655;4062;3548
26500;4662;4111;3576
26600;4693;4117;3597
26700;5025;4207;3628
26800;4770;4174;3633
26900;4791;4166;3680
27000;4810;4239;3717
