Size;Random Array Sorting Time;Reverse Array Sorting Time;Nearly Sorted Array Sorting Time
500;50;26;28
600;58;29;22
700;64;33;24
800;76;35;30
900;86;40;34
1000;97;45;40
1100;109;48;41
1200;116;48;45
1300;128;55;49
1400;137;58;55
1500;148;63;59
1600;162;66;61
1700;167;70;77
1800;184;77;77
1900;197;78;76
2000;201;70;69
2100;171;72;68
2200;186;75;77
2300;194;83;86
2400;207;87;86
2500;223;106;92
2600;229;97;87
2700;233;90;90
2800;250;95;98
2900;257;97;106
3000;264;102;101
3100;267;103;121
3200;288;115;126
3300;298;122;128
3400;310;119;128
3500;316;120;142
3600;330;125;135
3700;343;149;146
3800;335;136;139
3900;347;138;153
4000;338;124;136
4100;320;119;131
4200;323;152;143
4300;334;147;144
4400;361;146;141
4500;365;142;159
4600;368;136;154
4700;363;150;159
4800;387;151;170
4900;387;149;166
5000;387;145;200
5100;409;165;175
5200;425;167;178
5300;436;161;174
5400;445;173;184
5500;445;174;188
5600;451;167;173
5700;394;147;167
5800;414;154;164
5900;441;167;187
6000;442;159;174
6100;427;165;179
6200;433;189;183
6300;448;170;187
6400;448;184;199
6500;462;186;182
6600;486;191;214
6700;478;182;207
6800;462;192;185
6900;460;170;186
7000;442;168;173
7100;460;167;190
7200;467;178;189
7300;468;170;190
7400;472;189;196
7500;495;195;190
7600;489;185;192
7700;507;178;195
7800;497;213;200
7900;509;200;202
8000;519;205;205
8100;515;203;223
8200;526;200;206
8300;542;195;220
8400;556;212;210
8500;548;209;221
8600;562;214;212
8700;600;211;224
8800;581;264;253
8900;604;221;241
9000;585;213;257
9100;600;245;235
9200;582;220;248
9300;616;242;252
9400;631;236;251
9500;620;246;236
9600;613;268;262
9700;655;243;246
9800;648;239;252
9900;646;264;250
10000;660;237;250
10100;673;255;250
10200;676;244;257
10300;694;257;269
10400;691;254;279
10500;692;270;266
10600;694;261;256
10700;712;269;292
10800;739;283;274
10900;772;304;295
11000;763;277;287
11100;735;275;284
11200;752;307;304
11300;759;301;281
11400;766;285;289
11500;760;297;302
11600;788;290;295
11700;778;296;300
11800;787;321;304
11900;779;329;302
12000;810;320;333
12100;800;310;301
12200;820;321;307
12300;819;362;311
12400;844;329;322
12500;822;359;335
12600;848;321;334
12700;853;341;330
12800;885;337;320
12900;880;326;360
13000;880;350;325
13100;873;318;337
13200;853;357;329
13300;898;338;370
13400;920;359;373
13500;878;343;385
13600;888;342;336
13700;939;388;337
13800;935;340;358
13900;957;363;340
14000;964;371;352
14100;979;372;370
14200;955;359;367
14300;967;368;354
14400;1007;354;348
14500;1077;388;367
14600;1322;367;375
14700;1009;400;339
14800;1017;382;357
14900;1031;394;350
15000;988;395;405
15100;999;402;391
15200;1047;381;372
15300;1005;410;361
15400;1068;430;395
15500;1081;397;389
15600;1066;389;411
15700;1071;410;382
15800;1096;434;396
15900;1083;416;420
16000;1074;460;387
16100;1088;414;392
16200;1139;439;448
16300;1124;442;404
16400;1107;440;410
16500;1118;465;434
16600;1137;446;400
16700;1139;433;415
16800;1210;431;430
16900;1175;434;409
17000;1130;466;407
17100;1212;460;418
17200;1142;440;418
17300;1194;476;418
17400;1198;415;453
17500;1224;461;469
17600;1238;480;432
17700;1222;464;426
17800;1240;440;426
17900;1228;466;459
18000;1266;495;457
18100;1277;484;506
18200;1256;492;484
18300;1226;505;454
18400;1273;487;506
18500;1302;477;462
18600;1275;504;456
18700;1300;480;468
18800;1312;438;454
18900;1335;503;510
19000;1328;478;479
19100;1284;520;548
19200;1324;496;464
19300;1327;487;491
19400;1332;507;492
19500;1334;522;457
19600;1372;514;483
19700;1355;555;512
19800;1349;552;494
19900;1396;528;479
20000;1386;549;483
20100;1412;559;521
20200;1401;546;533
20300;1392;532;501
20400;1450;519;487
20500;1464;583;537
20600;1393;539;521
20700;1394;540;530
20800;1433;604;550
20900;1499;565;498
21000;1470;573;524
21100;1473;549;567
21200;1441;595;539
21300;1514;578;556
21400;1482;581;548
21500;1478;590;514
21600;1480;614;568
21700;1535;587;535
21800;1542;582;544
21900;1494;568;527
22000;1532;617;545
22100;1561;602;529
22200;1578;599;526
22300;1537;603;564
22400;1567;622;534
22500;1546;716;578
22600;1619;580;565
22700;1591;620;580
22800;1589;580;578
22900;1649;623;579
23000;1586;579;674
23100;1624;623;597
23200;1645;656;587
23300;1584;611;578
