Size;Random Array Sorting Time;Reverse Array Sorting Time;Nearly Sorted Array Sorting Time
500;172;151;143
600;231;221;192
700;309;285;257
800;395;383;332
900;496;468;417
1000;606;596;511
1100;723;577;504
1200;705;710;597
1300;818;801;697
1400;939;908;769
1500;744;724;609
1600;796;819;900
1700;1164;1199;1012
1800;1285;1352;1129
1900;1450;1330;1091
2000;1367;1432;1206
2100;1502;1570;1257
2200;1461;1521;1283
2300;1596;1598;1399
2400;1724;1819;1524
2500;1876;1961;1732
2600;2017;2153;1786
2700;2173;2293;1924
2800;2350;2465;2079
2900;2535;2619;2213
3000;2664;2807;2369
3100;2858;2925;2678
3200;3035;3051;2688
3300;3222;3382;2853
3400;3386;3508;3068
3500;3613;3811;3207
3600;3819;3992;3392
3700;4010;4225;3587
3800;4217;4297;3826
3900;4427;4686;3974
4000;4686;4939;4178
4100;4881;4986;4411
4200;5140;5237;4607
4300;5371;5531;4822
4400;5631;5972;5148
4500;5874;6001;5301
4600;6112;6481;5533
4700;6600;7172;6152
4800;6677;7165;6053
4900;6913;7493;6276
5000;7226;7627;6519
5100;7581;7770;6785
5200;7908;8251;7031
5300;8113;8311;7364
5400;8403;8662;7658
5500;8791;9056;7969
5600;9001;9507;8190
5700;9367;10073;8467
5800;10069;10475;8782
5900;9975;11354;9536
6000;10347;10911;9417
6100;10735;11331;9704
6200;10989;11391;9980
6300;11380;11989;10325
6400;11732;12170;10684
6500;12084;12526;10978
6600;12484;13246;11435
6700;12877;13244;11679
6800;13207;13975;12004
6900;13588;14424;12396
7000;14062;14519;12720
7100;14398;15311;13140
7200;14920;15869;13501
7300;15303;16212;13811
7400;15654;16209;14265
7500;16070;17006;14684
7600;16512;17415;15052
7700;16963;17480;15429
7800;17406;18311;15803
7900;17781;18421;16201
8000;18217;19377;16674
8100;18623;19362;17057
8200;19363;20499;17452
8300;19614;21060;17839
8400;20029;21519;18299
8500;20499;22062;18705
8600;20995;21982;19209
8700;21476;22514;19628
8800;21938;23553;20035
8900;22449;24096;20478
9000;23049;24731;20930
9100;23425;24658;21403
9200;23958;25197;21873
9300;24526;26301;22344
9400;24999;26096;22829
9500;25498;27459;23394
9600;26047;27727;23795
9700;26623;28641;24318
9800;27126;29050;24807
9900;27694;29762;25332
10000;28264;30439;25854
10100;28822;30983;26340
10200;29410;31573;26867
10300;29963;32699;27462
10400;30493;32099;27919
10500;31059;33456;28457
10600;31700;33970;28997
10700;32284;34610;29588
10800;32899;34934;30115
10900;33582;35262;30700
11000;34167;36668;31211
11100;34706;36492;31808
11200;35359;37963;32364
11300;35969;38302;33275
11400;36554;39229;33682
11500;37290;40317;34201
11600;37939;40415;34712
11700;38611;40635;35342
11800;39289;42039;35950
11900;39850;42774;36522
12000;40518;43490;37350
12100;41233;44093;37754
12200;41847;44552;38364
12300;42534;45743;39002
12400;43208;46040;39644
12500;44038;47168;40294
12600;44612;47244;40934
12700;45496;47666;41669
12800;46042;49406;42255
12900;46865;50183;43371
13000;47459;51053;43592
13100;48317;51700;44295
13200;48917;52578;44903
13300;49687;53386;45576
13400;50399;53911;46345
13500;51252;54714;46972
13600;52020;55346;48150
13700;52702;56245;48356
13800;53423;57151;49100
13900;54269;57890;49898
14000;55087;58581;50524
14100;55779;59746;51254
14200;56439;59641;52292
14300;57485;60654;52714
14400;58215;62169;53485
14500;58983;62505;54183
14600;59933;64043;54949
14700;60681;64681;55729
14800;61471;66106;56442
14900;62337;66563;57215
15000;63052;67803;58097
15100;63884;68264;58809
15200;64642;69195;59601
15300;65624;70107;60595
15400;66494;70276;61165
15500;67258;71928;62258
15600;68150;73021;62853
15700;69013;73775;63512
15800;70057;74784;64822
15900;70777;74849;65157
16000;71708;75822;66011
16100;72678;77934;66816
16200;73570;78838;67666
16300;74342;80239;68532
16400;75241;80528;69286
16500;76231;81619;70170
16600;77142;82982;71076
16700;78036;83660;72233
16800;78982;84714;72683
16900;79931;85773;73619
17000;81006;86976;74425
17100;81842;86233;75284
17200;83175;87642;76191
17300;83621;89549;77167
17400;84645;90800;77905
17500;85634;90705;78826
17600;86654;92891;79798
17700;87633;94015;80699
17800;88694;95243;81607
17900;89740;96536;82855
18000;90643;97194;83420
18100;91702;98477;84317
18200;92614;99195;85349
18300;93764;101118;86237
18400;94664;101220;87130
18500;95615;102874;88145
18600;96543;103630;89508
18700;97700;105040;90082
18800;98639;104722;91031
18900;99797;107196;91967
19000;100683;108647;92973
19100;101971;109632;93907
19200;103060;110666;94982
19300;104091;110437;95929
19400;105346;112464;96926
19500;106167;113897;97846
19600;107324;115694;99378
19700;108463;115998;99948
19800;109447;117216;100973
19900;110513;118246;102408
