Size;Random Array Sorting Time;Reverse Array Sorting Time;Nearly Sorted Array Sorting Time
500;31;15;13
600;32;18;14
700;36;23;16
800;43;21;20
900;48;74;48
1000;128;61;52
1100;141;65;54
1200;149;66;58
1300;165;73;65
1400;175;74;72
1500;190;84;74
1600;165;69;62
1700;167;72;79
1800;185;79;79
1900;198;81;78
2000;204;89;87
2100;212;99;88
2200;230;96;98
2300;236;94;102
2400;250;106;105
2500;271;102;111
2600;279;119;106
2700;286;111;111
2800;304;116;119
2900;313;119;129
3000;322;138;130
3100;328;132;155
3200;350;135;151
3300;356;147;153
3400;376;146;155
3500;382;128;133
3600;325;132;141
3700;341;142;138
3800;333;133;136
3900;343;135;152
4000;366;159;169
4100;376;145;157
4200;374;154;160
4300;388;161;166
4400;413;171;176
4500;426;158;179
4600;420;157;176
4700;438;186;196
4800;444;168;241
4900;455;183;204
5000;451;172;240
5100;473;153;165
5200;426;175;182
5300;439;162;172
5400;439;165;179
5500;451;183;194
5600;452;170;186
5700;454;182;203
5800;478;187;191
5900;487;179;215
6000;500;194;205
6100;492;192;201
6200;499;212;218
6300;457;168;188
6400;449;183;200
6500;467;184;181
6600;483;185;208
6700;481;196;207
6800;459;196;201
6900;503;199;214
7000;501;184;194
7100;520;201;223
7200;525;199;209
7300;530;202;206
7400;469;184;195
7500;495;202;189
7600;488;182;190
7700;509;190;190
7800;497;198;197
7900;512;209;201
8000;514;199;204
8100;522;214;225
8200;529;199;207
8300;544;194;218
8400;555;211;211
8500;545;205;214
8600;567;225;211
8700;573;208;221
8800;581;216;210
8900;585;222;241
9000;583;212;257
9100;606;247;239
9200;582;222;250
9300;601;246;258
9400;632;228;251
9500;619;247;237
9600;612;267;253
9700;630;238;242
9800;648;237;251
9900;646;259;255
10000;654;247;255
10100;670;243;251
10200;679;241;259
10300;691;255;268
10400;691;254;280
10500;694;270;266
10600;695;262;258
10700;716;273;300
10800;736;286;278
10900;731;274;281
11000;757;272;275
11100;737;278;284
11200;752;297;321
11300;762;306;281
11400;764;279;286
11500;766;298;302
11600;787;290;294
11700;774;291;295
11800;785;310;292
11900;780;324;296
12000;809;314;328
12100;795;311;300
12200;820;322;307
12300;821;364;309
12400;844;328;320
12500;824;354;334
12600;841;330;337
12700;856;335;325
12800;870;328;321
12900;873;331;363
13000;882;357;321
13100;859;329;338
13200;853;362;337
13300;903;344;375
13400;919;357;384
13500;886;343;358
13600;887;344;333
13700;937;385;336
13800;934;337;362
13900;1011;453;357
14000;987;441;459
14100;1041;360;385
14200;957;354;414
14300;970;362;358
14400;1007;363;351
14500;1018;369;353
14600;962;367;364
14700;995;397;342
14800;998;393;357
14900;1021;386;354
15000;989;390;392
15100;1097;487;371
15200;1052;361;394
15300;1013;417;356
15400;1073;434;394
15500;1083;403;388
15600;1069;405;420
15700;1076;409;385
15800;1093;443;401
15900;1101;414;424
16000;1075;465;390
16100;1090;419;395
16200;1142;445;450
16300;1136;447;426
16400;1118;435;412
16500;1122;473;429
16600;1147;444;401
16700;1131;442;416
16800;1231;440;436
16900;1171;434;410
17000;1124;471;406
17100;1171;442;428
17200;1137;439;431
17300;1193;486;424
17400;1190;418;443
17500;1218;462;465
17600;1260;487;428
17700;1227;458;439
17800;1242;451;439
17900;1222;469;448
18000;1248;483;448
18100;1275;460;498
18200;1241;477;469
18300;1232;501;464
18400;1278;486;519
18500;1317;491;457
18600;1281;535;468
18700;1314;478;484
18800;1316;446;449
18900;1329;507;511
19000;1324;482;470
19100;1283;535;546
19200;1325;488;456
19300;1329;486;489
19400;1353;506;490
19500;1335;509;465
19600;1369;515;490
19700;1355;550;504
19800;1345;551;484
19900;1398;526;486
20000;1385;539;475
20100;1408;573;541
20200;1431;538;525
20300;1390;523;500
20400;1446;511;480
20500;1462;585;548
20600;1403;535;514
20700;1394;556;517
20800;1400;555;550
20900;1483;562;495
21000;1473;571;526
21100;1517;539;569
21200;1431;589;529
21300;1503;572;567
21400;1487;579;552
21500;1480;598;509
21600;1469;597;564
21700;1535;590;535
21800;1545;587;540
21900;1496;570;526
22000;1586;669;594
22100;1987;601;531
22200;1577;616;530
22300;1558;603;597
22400;1628;640;537
22500;2175;608;587
22600;1550;583;570
22700;1584;619;580
22800;1584;582;580
22900;1646;628;583
23000;1657;596;576
23100;1618;642;592
23200;1658;659;599
23300;1577;612;578
