Size;Random Array Sorting Time;Reverse Array Sorting Time;Nearly Sorted Array Sorting Time
500;163;154;158
600;233;224;233
700;275;246;252
800;336;320;328
900;552;607;535
1000;726;576;513
1100;727;715;615
1200;843;850;730
1300;995;978;855
1400;1143;914;807
1500;1061;1092;921
1600;1207;1248;1050
1700;1360;1406;1109
1800;1292;1353;1132
1900;1421;1500;1257
2000;1565;1425;1206
2100;1503;1579;1331
2200;1658;1640;1280
2300;1595;1660;1402
2400;1728;1806;1521
2500;1897;1950;1655
2600;2013;2131;1787
2700;2167;2279;1920
2800;2340;2452;2066
2900;2511;2519;2214
3000;2670;2683;2366
3100;2836;2988;2524
3200;3021;3067;2693
3300;3190;3396;2858
3400;3414;3576;3032
3500;3607;3812;3213
3600;3771;3984;3394
3700;4009;4243;3587
3800;4219;4480;3778
3900;4437;4681;3980
4000;4647;4902;4179
4100;4866;5168;4426
4200;5133;5428;4603
4300;5381;5696;4828
4400;5620;5896;5081
4500;5873;6166;5282
4600;6142;6344;5523
4700;6383;6760;5766
4800;6728;7042;6018
4900;6936;7115;6265
5000;7253;7373;6516
5100;7514;7653;6787
5200;7783;7933;7036
5300;8124;8613;7335
5400;8425;8917;7584
5500;8713;9226;7895
5600;9028;9523;8168
5700;9364;9852;8443
5800;9634;10337;8812
5900;9962;10645;9040
6000;10302;10924;9374
6100;10641;11270;9663
6200;11239;11573;10003
6300;11564;12016;10316
6400;11686;12446;10681
6500;12102;12876;10962
6600;12473;13175;11354
6700;12837;13348;11679
6800;13214;14040;11997
6900;13568;14481;12350
7000;13955;14874;12718
7100;14377;15254;13102
7200;15128;15411;13437
7300;15173;16197;13807
7400;15606;16327;14189
7500;16011;16942;14608
7600;16445;17683;14965
7700;16879;18131;15345
7800;17291;18606;15772
7900;17765;19017;16169
8000;18177;19487;16615
8100;18656;19946;16980
8200;19114;20381;17468
8300;19595;21079;17835
8400;20070;21499;18612
8500;20543;21977;18687
8600;20965;22017;19157
8700;21441;22474;19580
8800;21947;23628;20021
8900;22513;23442;20467
9000;22965;24699;20922
9100;23375;25176;21405
9200;24028;25812;21886
9300;24463;26283;22351
9400;25027;26929;22853
9500;25584;27351;23393
9600;26080;27962;23804
9700;26566;28008;24303
9800;27105;28581;24836
9900;28149;29726;25339
10000;28300;30361;25816
10100;28804;30925;26343
10200;29338;31576;26880
10300;29995;32407;27405
10400;30458;32736;27923
10500;31096;33423;28481
10600;31739;34109;29020
10700;32250;34346;29587
10800;33033;35342;30090
10900;33509;36121;30742
11000;34277;35989;31227
11100;34863;37361;31805
11200;35368;37886;32392
11300;36050;38314;32957
11400;36710;38495;33586
11500;37239;39893;34151
11600;37882;40675;34716
11700;38489;41296;35303
11800;39137;41740;35927
11900;40285;42905;36544
12000;40449;43439;37163
12100;41152;44193;37755
12200;41872;44951;38362
12300;43268;45148;39013
12400;43276;45623;39701
12500;43839;47057;40272
12600;44656;47931;40940
12700;45394;48326;41650
12800;46071;49261;42323
12900;46813;49854;42952
13000;47445;50713;43598
13100;48248;51591;44275
13200;49072;51754;44928
13300;49775;52474;45639
13400;50570;53764;46338
13500;51164;55063;46956
13600;51941;55460;47710
13700;52775;56721;48533
13800;53542;57056;49089
13900;54309;57215;49816
14000;55116;59135;50508
14100;55728;59900;51286
14200;56523;59856;51942
14300;57413;60598;52655
14400;58106;62467;53467
14500;59026;62104;54217
14600;59605;64515;54883
14700;60527;64063;55723
14800;61349;65735;56510
14900;62116;66570;57179
15000;62995;67562;57974
15100;63896;68879;58811
15200;64946;69222;59577
15300;65946;70259;60301
15400;66460;71014;61121
15500;67234;72309;61921
15600;68140;73067;63116
15700;68960;73909;63474
15800;69865;75064;64345
15900;70647;75853;65124
16000;71665;76863;66077
16100;72621;77050;66808
16200;73442;77689;67663
16300;74330;79829;68506
16400;76157;80813;69324
16500;76237;80668;70211
16600;77288;82823;71010
16700;78091;83643;71872
16800;79085;84516;72665
16900;79990;84335;73628
17000;80956;86990;74448
17100;81814;86427;75345
17200;82824;87561;76212
17300;83684;88683;77109
17400;84734;91172;77951
17500;85705;91727;78882
17600;86691;93056;79912
17700;87515;93708;80797
17800;92586;95317;81551
17900;89527;95854;82481
18000;91044;98651;84083
18100;92369;97668;84867
18200;92932;99177;85312
18300;93509;100721;86230
18400;94619;101460;87135
18500;95697;102982;88124
18600;96580;104010;89093
18700;97649;105072;90036
18800;98601;105849;91019
18900;100071;106831;91954
19000;100790;108367;92918
19100;101930;109262;93949
19200;102842;110739;94939
19300;106705;134812;96899
19400;106206;112893;99532
19500;107442;113182;98540
19600;108754;115473;99747
19700;109382;118014;100729
19800;111432;118777;101658
19900;111389;118953;102516
