Size;Random Array Sorting Time;Reverse Array Sorting Time;Nearly Sorted Array Sorting Time
500;50;26;21
600;57;27;22
700;63;39;24
800;75;34;30
900;84;38;34
1000;95;42;39
1100;106;47;41
1200;114;48;44
1300;127;55;49
1400;135;58;55
1500;149;64;60
1600;163;71;63
1700;166;72;79
1800;185;79;78
1900;196;80;77
2000;200;87;88
2100;205;90;82
2200;225;91;94
2300;234;98;104
2400;249;105;103
2500;260;83;91
2600;226;97;86
2700;230;89;89
2800;248;93;97
2900;256;96;105
3000;259;99;100
3100;266;110;126
3200;284;108;121
3300;291;119;124
3400;309;117;126
3500;312;118;134
3600;322;133;141
3700;341;142;140
3800;331;132;136
3900;378;158;167
4000;368;154;163
4100;374;140;154
4200;375;150;158
4300;385;156;164
4400;406;170;177
4500;422;134;152
4600;358;132;148
4700;362;157;165
4800;378;141;163
4900;385;155;171
5000;382;147;202
5100;401;154;164
5200;421;174;181
5300;436;162;172
5400;435;162;177
5500;445;180;189
5600;445;168;182
5700;451;175;196
5800;467;154;164
5900;418;150;182
6000;430;167;174
6100;425;164;172
6200;428;183;187
6300;443;164;186
6400;443;180;197
6500;460;180;178
6600;479;180;207
6700;477;188;204
6800;458;196;206
6900;497;188;208
7000;483;166;175
7100;453;164;191
7200;465;177;183
7300;467;169;187
7400;471;184;195
7500;490;192;186
7600;483;186;192
7700;506;179;191
7800;494;208;197
7900;506;200;200
8000;511;203;200
8100;514;209;228
8200;591;209;208
8300;548;199;211
8400;638;208;214
8500;561;226;257
8600;691;223;216
8700;572;200;225
8800;610;226;251
8900;585;221;242
9000;576;212;256
9100;598;241;233
9200;587;220;246
9300;598;237;249
9400;863;314;249
9500;738;270;268
9600;682;371;273
9700;654;232;238
9800;643;236;249
9900;639;248;241
10000;693;259;259
10100;675;272;254
10200;702;250;259
10300;687;255;265
10400;688;250;277
10500;691;268;267
10600;689;262;258
10700;704;271;287
10800;729;280;275
10900;726;286;279
11000;754;273;280
11100;731;270;279
11200;748;297;300
11300;755;298;274
11400;758;282;286
11500;756;298;301
11600;784;286;288
11700;826;306;292
11800;797;566;387
11900;790;321;346
12000;25435;462;1272
12100;808;393;336
12200;3132;3300;2635
12300;1366;580;498
12400;980;378;361
12500;939;397;369
12600;940;361;368
12700;959;378;359
12800;980;381;351
12900;984;710;408
13000;995;388;359
13100;972;358;373
13200;977;398;373
13300;1019;376;413
13400;1034;393;425
13500;992;380;410
13600;997;384;376
13700;1060;432;378
13800;1050;380;402
13900;1075;411;384
14000;1086;413;397
14100;1085;402;410
14200;1076;395;409
14300;1223;402;416
14400;1138;404;401
14500;1134;421;402
14600;1087;405;408
14700;1123;449;387
14800;1121;430;403
14900;1158;433;397
15000;1112;435;433
15100;1123;442;414
15200;1178;423;420
15300;1134;469;401
15400;1211;508;446
15500;1226;430;445
15600;1193;462;463
15700;1211;459;430
15800;1233;468;446
15900;1216;467;476
16000;1204;524;434
16100;1228;462;441
16200;1278;492;515
16300;1265;500;451
16400;1246;492;461
16500;1263;522;485
16600;1275;502;453
16700;1278;498;469
16800;1284;486;480
16900;1318;485;457
17000;1266;521;455
17100;1313;506;471
17200;1283;515;462
17300;1344;538;469
17400;1340;460;500
17500;1372;519;517
17600;1401;569;481
17700;1381;554;476
17800;1412;508;521
17900;1387;516;507
18000;1404;561;510
18100;1565;557;716
18200;1524;554;532
18300;1381;561;514
18400;1442;542;566
18500;1527;642;538
18600;1463;555;510
18700;1473;532;787
